Headline,Day,Published_Date,Published_Region,Timings,Meetings
Madurai Today,Wednesday,2019-03-27,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; R. C. Church, Sivaganga Road, Melur, 6.30 p.m.; Prasanna Venkateswara Higher Secondary School; Dheep Hospital, K. Pudur, and Loyola Technical Institute, Gnanaolivupuram, 7 p.m."
Madurai Today,Sunday,2019-03-24,TAMIL NADU,"['11 a.m.', '6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; U. C. Higher Secondary School, West Veli Street, 11 a.m.; R. C. School, Sivaganga Road, Melur, 6.30 p.m.; Justice V. R. Krishna Iyer Community Hall, Lake View Road, K. K. Nagar, and Railway Institute, 7 p.m."
Madurai Today,Saturday,2019-03-23,TAMIL NADU,['7 p.m.']," Anonymous: Meeting; Ahana Hospital, Anna Bus Stand; Quality Care Hospital, Ellis Nagar, and R. C. School, Palanganatham, 7 p.m."
Madurai Today,Wednesday,2019-03-20,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; R. C. Church, Sivaganga Road, Melur, 6.30 p.m.; Prasanna Venkateswara Higher Secondary School; Dheep Hospital, K. Pudur, and Loyola Technical Institute, Gnanaolivupuram, 7 p.m."
Madurai Today,Tuesday,2019-03-19,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; Tamilarasi School, Melur, 6.30 p.m.; St. Mary’s Higher Secondary School, East Veli Street; De Nobili Pastoral Centre, K. Pudur, and R. C. School, Palanganatham, 7 p.m."
Madurai Today,Saturday,2019-03-16,TAMIL NADU,['7 p.m.']," Anonymous: Meeting; Ahana Hospital, Anna Bus Stand; Quality Care Hospital, Ellis Nagar, and R. C. School, Palanganatham, 7 p.m."
Madurai Today,Friday,2019-03-15,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; Tamilarasi School, Melur, 6.30 p.m.; CSI Cathedral, Narimedu, Parasakthi Nagar, Avaniapuram, and Maniyammai Nursery School, North Masi Street, 7 p.m."
Madurai Today,Thursday,2019-03-14,TAMIL NADU,['7 p.m.']," Anonymous: Meeting; Dheep Hospital, Alagarkoil Road, K. Pudur; Kalangarai Vilakkam Church, Mela Anuppanadi, and Rosary Church, Town Hall Road, 7 p.m."
Madurai Today,Tuesday,2019-03-12,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; Tamilarasi School, Melur, 6.30 p.m.; St. Mary’s Higher Secondary School, East Veli Street; De Nobili Pastoral Centre, K. Pudur, and R. C. School, Palanganatham, 7 p.m."
Madurai Today,Sunday,2019-03-10,TAMIL NADU,"['11 a.m.', '6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; U. C. Higher Secondary School, West Veli Street, 11 a.m.; R. C. School, Sivaganga Road, Melur, 6.30 p.m.; Justice V. R. Krishna Iyer Community Hall, Lake View Road, K. K. Nagar, and Railway Institute, 7 p.m."
Madurai Today,Saturday,2019-03-09,TAMIL NADU,['7 p.m.']," Anonymous: Meeting; Ahana Hospital, Anna Bus Stand; Quality Care Hospital, Ellis Nagar, and R. C. School, Palanganatham, 7 p.m."
Madurai Today,Friday,2019-03-08,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; Tamilarasi School, Melur, 6.30 p.m.; CSI Cathedral, Narimedu, Parasakthi Nagar, Avaniapuram, and Maniyammai Nursery School, North Masi Street, 7 p.m."
Madurai Today,Thursday,2019-03-07,TAMIL NADU,['7 p.m.']," Anonymous: Meeting; Dheep Hospital, Alagarkoil Road, K. Pudur; Kalangarai Vilakkam Church, Mela Anuppanadi, and Rosary Church, Town Hall Road, 7 p.m."
Madurai Today,Wednesday,2019-03-06,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; R. C. Church, Sivaganga Road, Melur, 6.30 p.m.; Prasanna Venkateswara HSS; Dheep Hospital, K. Pudur, and Loyola Technical Institute, Gnanaolivupuram, 7 p.m."
Madurai today,Tuesday,2019-03-05,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; Tamilarasi School, Melur, 6.30 p.m.; St. Mary’s Higher Secondary School, East Veli Street; De Nobili Pastoral Centre, K. Pudur, and R. C. School, Palanganatham, 7 p.m."
Madurai Today,Monday,2019-03-04,TAMIL NADU,"['7 a.m.', '7 p.m.']"," Anonymous: Meeting, Holy Redeemers Church, Periyar bus stand 7 a.m.; AG Church Gomathipuram and Quality Care Hospital, Ellis Nagar, 7 p.m."
Madurai Today,Saturday,2019-03-02,TAMIL NADU,"['11 a.m.', '6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; U. C. Higher Secondary School, West Veli Street, 11 a.m.; R. C. School, Sivaganga Road, Melur, 6.30 p.m.; Justice V. R. Krishna Iyer Community Hall, Lake View Road, K. K. Nagar, and Railway Institute, 7 p.m."
Madurai Today,Friday,2019-03-01,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; Tamilarasi School, Melur, 6.30 p.m.; CSI Cathedral, Narimedu, Parasakthi Nagar, Avaniapuram, and Maniyammai Nursery School, North Masi Street, 7 p.m."
Madurai Today,Thursday,2019-02-28,TAMIL NADU,['7 p.m.']," Anonymous: Meeting; Dheep Hospital, Alagarkoil Road, K. Pudur; Kalangarai Vilakkam Church, Mela Anuppanadi, and Rosary Church, Town Hall Road, 7 p.m."
Madurai Today,Wednesday,2019-02-27,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; R. C. Church, Sivaganga Road, Melur, 6.30 p.m.; Prasanna Venkateswara Higher Secondary School; Dheep Hospital, K. Pudur, and Loyola Technical Institute, Gnanaolivupuram, 7 p.m."
Madurai Today,Tuesday,2019-02-26,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; Tamilarasi School, Melur, 6.30 p.m.; St. Mary’s Higher Secondary School, East Veli Street; De Nobili Pastoral Centre, K. Pudur, and R. C. School, Palanganatham, 7 p.m."
Madurai Today,Saturday,2019-02-23,TAMIL NADU,"['11 a.m.', '6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; U. C. Higher Secondary School, West Veli Street, 11 a.m.; R. C. School, Sivaganga Road, Melur, 6.30 p.m.; Justice V. R. Krishna Iyer Community Hall, Lake View Road, K. K. Nagar, and Railway Institute, 7 p.m."
Madurai Today,Friday,2019-02-22,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; Tamilarasi School, Melur, 6.30 p.m.; CSI Cathedral, Narimedu; Parasakthi Nagar, Avaniapuram, and Maniyammai Nursery School, North Masi Street, 7 p.m."
Madurai Today,Thursday,2019-02-21,TAMIL NADU,['7 p.m.']," Anonymous: Meeting; Dheep Hospital, Alagarkoil Road, K. Pudur; Kalangarai Vilakkam Church, Mela Anuppanadi, and Rosary Church, Town Hall Road, 7 p.m."
Madurai Today,Wednesday,2019-02-20,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; R. C. Church, Sivaganga Road, Melur, 6.30 p.m.Prasanna Venkateswara Higher Secondary School; Dheep Hospital, K. Pudur, and Loyola Technical Institute, Gnanaolivupuram, 7 p.m."
Madurai Today,Tuesday,2019-02-19,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; Tamilarasi School, Melur, 6.30 p.m.; St. Mary’s Higher Secondary School, East Veli Street; De Nobili Pastoral Centre, K. Pudur, and R. C. School, Palanganatham, 7 p.m."
Madurai today,Monday,2019-02-18,TAMIL NADU,"['7 a.m.', '7 p.m.']"," Anonymous: Meeting, Holy Redeemers Church, Periyar bus stand 7 a.m.; AG Church, Gomathipuram and Quality Care Hospital, Ellis Nagar, 7 p.m."
Madurai Today,Saturday,2019-02-16,TAMIL NADU,"['11 a.m.', '6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; U. C. Higher Secondary School, West Veli Street, 11 a.m.; R. C. School, Sivaganga Road, Melur, 6.30 p.m.; Justice V. R. Krishna Iyer Community Hall, Lake View Road, K. K. Nagar, and Railway Institute, 7 p.m."
Madurai Today,Friday,2019-02-15,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; Tamilarasi School, Melur, 6.30 p.m.; CSI Cathedral, Narimedu, Parasakthi Nagar, Avaniapuram, and Maniyammai Nursery School, North Masi Street, 7 p.m."
Madurai Today,Wednesday,2019-02-13,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; R. C. Church, Sivaganga Road, Melur, 6.30 p.m.Prasanna Venkateswara Higher Secondary School; Dheep Hospital, K. Pudur, and Loyola Technical Institute, Gnanaolivupuram, 7 p.m."
Madurai Today,Tuesday,2019-02-12,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; Tamilarasi School, Melur, 6.30 p.m.; St. Mary’s Higher Secondary School, East Veli Street; De Nobili Pastoral Centre, K. Pudur, and R. C. School, Palanganatham, 7 p.m."
Madurai today,Monday,2019-02-11,TAMIL NADU,"['7 a.m.', '7 p.m.']"," Anonymous: Meeting, Holy Redeemers Church, Periyar bus stand 7 a.m.; AG Church, Gomathipuram and Quality Care Hospital, Ellis Nagar, 7 p.m."
Madurai Today,Saturday,2019-02-09,TAMIL NADU,"['11 a.m.', '6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; U. C. Higher Secondary School, West Veli Street, 11 a.m.; R. C. School, Sivaganga Road, Melur, 6.30 p.m.; Justice V. R. Krishna Iyer Community Hall, Lake View Road, K. K. Nagar, and Railway Institute, 7 p.m."
Madurai Today,Friday,2019-02-08,TAMIL NADU,['7 p.m.']," Anonymous: Meeting; Dheep Hospital, Alagarkoil Road, K. Pudur; Kalangarai Vilakkam Church, Mela Anuppanadi, and Rosary Church, Town Hall Road, 7 p.m."
Madurai Today,Wednesday,2019-02-06,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; R. C. Church, Sivaganga Road, Melur, 6.30 p.m.; Prasanna Venkateswara Higher Secondary School; Dheep Hospital, K. Pudur, and Loyola Technical Institute, Gnanaolivupuram, 7 p.m."
Madurai Today,Saturday,2019-02-02,TAMIL NADU,"['11 a.m.', '6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; U. C. Higher Secondary School, West Veli Street, 11 a.m.; R. C. School, Sivaganga Road, Melur, 6.30 p.m.; Justice V. R. Krishna Iyer Community Hall, Lake View Road, K. K. Nagar, and Railway Institute, 7 p.m."
Madurai Today,Friday,2019-02-01,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; Tamilarasi School, Melur, 6.30 p.m.; CSI Cathedral, Narimedu; Corporation Colony, Parasakthi Nagar, and Maniyammai Primary School, North Masi Street, 7 p.m."
Madurai Today,Thursday,2019-01-31,TAMIL NADU,['7 p.m.']," Anonymous: Meeting; Dheep Hospital, Alagarkoil Road, K. Pudur; Kalangarai Vilakkam Church, Mela Anuppanadi, and Rosary Church, Town Hall Road, 7 p.m."
Madurai Today,Wednesday,2019-01-30,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; R. C. Church, Sivaganga Road, Melur, 6.30 p.m.; Prasanna Venkateswara Higher Secondary School; Dheep Hospital, K. Pudur, and Loyola Technical Institute, Gnanaolivupuram, 7 p.m."
Madurai Today,Tuesday,2019-01-29,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; Tamilarasi School, Melur, 6.30 p.m.; St. Mary’s Higher Secondary School, East Veli Street; De Nobili Pastoral Centre, K. Pudur, and R. C. School, Palanganatham, 7 p.m."
Madurai Today,Saturday,2019-01-26,TAMIL NADU,"['11 a.m.', '6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; U. C. Higher Secondary School, West Veli Street, 11 a.m.; R. C. School, Sivaganga Road, Melur, 6.30 p.m.; Justice V. R. Krishna Iyer Community Hall, Lake View Road, K. K. Nagar, and Railway Institute, 7 p.m."
Madurai Today,Friday,2019-01-25,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; Tamilarasi School, Melur, 6.30 p.m.; CSI Cathedral, Narimedu; Parasakthi Nagar, Avaniapuram, and Maniyammai Nursery School, North Masi Street, 7 p.m."
Madurai Today,Thursday,2019-01-24,TAMIL NADU,['7 p.m.']," Anonymous: Meeting; Dheep Hospital, Alagarkoil Road, K. Pudur; Kalangarai Vilakkam Church, Mela Anuppanadi, and Rosary Church, Town Hall Road, 7 p.m."
Madurai Today,Wednesday,2019-01-23,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; R. C. Church, Sivaganga Road, Melur, 6.30 p.m.Prasanna Venkateswara Higher Secondary School; Dheep Hospital, K. Pudur, and Loyola Technical Institute, Gnanaolivupuram, 7 p.m."
Madurai Today,Tuesday,2019-01-22,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; Tamilarasi School, Melur, 6.30 p.m.; St. Mary’s Higher Secondary School, East Veli Street; De Nobili Pastoral Centre, K. Pudur, and R. C. School, Palanganatham, 7 p.m."
Madurai today,Monday,2019-01-21,TAMIL NADU,"['7 a.m.', '7 p.m.']"," Anonymous: Meeting, Holy Redeemers Church, Periyar bus stand 7 a.m.; AG Church Gomathipuram and Quality Care Hospital, Ellis Nagar, 7 p.m."
Madurai Today,Friday,2019-01-18,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; Tamilarasi School, Melur, 6.30 p.m.; CSI Cathedral, Narimedu; Parasakthi Nagar, Avaniapuram, and Maniyammai Nursery School, North Masi Street, 7 p.m."
Madurai Today,Thursday,2019-01-17,TAMIL NADU,['7 p.m.']," Anonymous: Meeting; Dheep Hospital, Alagarkoil Road, K. Pudur; Kalangarai Vilakkam Church, Mela Anuppanadi, and Rosary Church, Town Hall Road, 7 p.m."
Madurai Today,Tuesday,2019-01-15,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; R. C. Church, Sivaganga Road, Melur, 6.30 p.m.; Prasanna Venkateswara Higher Secondary School; Dheep Hospital, K. Pudur, and Loyola Technical Institute, Gnanaolivupuram, 7 p.m."
13JANAXL01_Chennai Today,Monday,2019-01-14,TAMIL NADU,['6.30 p.m.']," Anonymous: Meetings, Our Lady of Lourdese Church, Perambur, 6.30 p.m.; Meston College, Royapettah;; Risen Redeemers Church, United India Colony, Kodambakkam; Annai Velankanni Church, Besant Nagar; The Lady of the Light Church, Luz, Mylapore; St. Johns Catholic Church, Seniyamman Koil St., Thirumullaivayal; Purana Suvisesa Eluputhal Church, Santhipuram, Thirumullaivoyal; Glory Church, MMDA Colony, Arumbakkam; St. Joseph School,, 18th West Cross St., M.K.B. Nagar; Govt. Primary School, Govindaraj Nagar, Kattupakkam; Immanuel Church, Perumal Kovil St., Nerkundram, English Language Meeting, Teresa Church, Nungambakkam, 7 p.m"
Madurai today,Monday,2019-01-14,TAMIL NADU,"['7 a.m.', '7 p.m.']"," Anonymous: Meeting, Holy Redeemers Church, Periyar bus stand, 7 a.m.; A.G. Church, Gomathipuram and Quality Care Hospital Ellis Nagar, 7 p.m."
Madurai Today,Saturday,2019-01-12,TAMIL NADU,"['11 a.m.', '6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; U. C. Higher Secondary School, West Veli Street, 11 a.m.; R. C. School, Sivaganga Road, Melur, 6.30 p.m.; Justice V. R. Krishna Iyer Community Hall, Lake View Road, K. K. Nagar, and Railway Institute, 7 p.m."
Madurai Today,Wednesday,2019-01-09,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; R. C. Church, Sivaganga Road, Melur, 6.30 p.m.; Prasanna Venkateswara Higher Secondary School; Dheep Hospital, K. Pudur, and Loyola Technical Institute, Gnanaolivupuram, 7 p.m."
Madurai Today,Tuesday,2019-01-08,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; Tamilarasi School, Melur, 6.30 p.m.; St. Mary’s Higher Secondary School, East Veli Street; De Nobili Pastoral Centre, K. Pudur, and R. C. School, Palanganatham, 7 p.m."
Madurai today,Monday,2019-01-07,TAMIL NADU,"['7 a.m.', '7 p.m.']"," Anonymous: Meeting, Holy Redeemers Church, Periyar bus stand, 7 a.m.; A.G. Church, Gomathipuram, Quality Care Hospital, Ellis Nagar, 7 p.m."
Madurai Today,Saturday,2019-01-05,TAMIL NADU,"['9.30 a.m.', '11 a.m.', '6.30 p.m.', '7 p.m.']"," Anonymous: 12th anniversary of Madurai inter group; S. Aneesh Sekhar, Corporation Commissioner; K. J. Praveen Kumar, Assistant Collector; S. M. Malliga, Assistant Commissioner of Police, and S. Vidhya, psychiatrist, address, K. V. Duraiappa Nadar Thenammal Maaligai, New Ramnad Road, 9.30 a.m.; meeting; U. C. Higher Secondary School, West Veli Street, 11 a.m.; R. C. School, Sivaganga Road, Melur, 6.30 p.m.; Justice V. R. Krishna Iyer Community Hall, Lake View Road, K. K. Nagar, and Railway Institute, 7 p.m."
Madurai Today,Friday,2019-01-04,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; Tamilarasi School, Melur, 6.30 p.m.; CSI Cathedral, Narimedu; Parasakthi Nagar, Avaniapuram, and Maniyammai Nursery School, North Masi Street, 7 p.m."
Madurai Today,Thursday,2019-01-03,TAMIL NADU,['7 p.m.']," Anonymous: Meeting; Dheep Hospital, Alagarkoil Road, K. Pudur; Kalangarai Vilakkam Church, Mela Anuppanadi, and Rosary Church, Town Hall Road, 7 p.m."
Madurai Today,Wednesday,2019-01-02,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; R. C. Church, Sivaganga Road, Melur, 6.30 p.m.; Prasanna Venkateswara Higher Secondary School; Dheep Hospital, K. Pudur, and Loyola Technical Institute, Gnanaolivupuram, 7 p.m."
Madurai Today,Tuesday,2019-01-01,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; Tamilarasi School, Melur, 6.30 p.m.; St. Mary’s Higher Secondary School, East Veli Street; De Nobili Pastoral Centre, K. Pudur, and R. C. School, Palanganatham, 7 p.m."
Madurai Today,Monday,2018-12-31,TAMIL NADU,"['7 a.m.', '7 p.m.']"," Anonymous: Meeting, Holy Redeemers Church, Periyar bus stand, 7 a.m.; A.G. Church, Gomathipuram and Quality Care Hospital Ellis Nagar, 7 p.m."
Madurai Today,Saturday,2018-12-29,TAMIL NADU,"['11 a.m.', '6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; U. C. Higher Secondary School, West Veli Street, 11 a.m.; R. C. School, Sivaganga Road, Melur, 6.30 p.m.; Justice V. R. Krishna Iyer Community Hall, Lake View Road, K. K. Nagar, and Railway Institute, 7 p.m."
Madurai Today,Friday,2018-12-28,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; Tamilarasi School, Melur, 6.30 p.m.; CSI Cathedral, Narimedu; Parasakthi Nagar, Avaniapuram, and Maniyammai Nursery School, North Masi Street, 7 p.m."
Madurai Today,Thursday,2018-12-27,TAMIL NADU,['7 p.m.']," Anonymous: Meeting; Dheep Hospital, Alagarkoil Road, K. Pudur; Kalangarai Vilakkam Church, Mela Anuppanadi, and Rosary Church, Town Hall Road, 7 p.m."
Madurai Today,Tuesday,2018-12-25,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; Tamilarasi School, Melur, 6.30 p.m.; St. Mary’s Higher Secondary School, East Veli Street; De Nobili Pastoral Centre, K. Pudur, and R. C. School, Palanganatham, 7 p.m."
Madurai today,Monday,2018-12-24,TAMIL NADU,"['7 a.m.', '7 p.m.']"," Anonymous: Meeting, Holy Redeemers Church, Periyar bus stand, 7 a.m.; A.G. Church, Gomathipuram and Quality Care Hospital Ellis Nagar, 7 p.m."
Madurai today,Tuesday,2018-12-18,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; Tamilarasi School, Melur, 6.30 p.m.; St. Mary’s Higher Secondary School, East Veli Street; De Nobili Pastoral Centre, K. Pudur, and R. C. School, Palanganatham, 7 p.m."
Madurai today,Monday,2018-12-17,TAMIL NADU,"['7 a.m.', '7 p.m.']"," Anonymous: Meeting, Holy Redeemers Church, Periyar bus stand, 7 a.m.; A.G. Church, Gomathipuram and Quality Care Hospital Ellis Nagar, 7 p.m."
Madurai Today,Saturday,2018-12-15,TAMIL NADU,"['11 a.m.', '6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; U. C. Higher Secondary School, West Veli Street, 11 a.m.; R. C. School, Sivaganga Road, Melur, 6.30 p.m.; Justice V. R. Krishna Iyer Community Hall, Lake View Road, K. K. Nagar, and Railway Institute, 7 p.m."
AA Hyderabad chapter to celebrate first anniversary,Friday,2018-12-14,TELANGANA,[]," Anonymous today announced its plan to have a two-day conference between December 15 and 16 to mark the 1st anniversary of its Hyderabad chapter. “We have 1,50,000 groups. There are nearly 2 million members in 190 countries who are part of AA. This conference will raise the visibility and many more people may be able to make the life changing choice,” said Srinivas. “The crackdown on gudumba in Telangana two years back revealed a big crisis as many people in rural areas were affected. We need to create support structure in the community,” said Devika Rani, a counsellor."
Madurai Today,Friday,2018-12-14,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; Tamilarasi School, Melur, 6.30 p.m.; CSI Cathedral, Narimedu; Parasakthi Nagar, Avaniapuram, and Maniyammai Nursery School, North Masi Street, 7 p.m."
Madurai Today,Thursday,2018-12-13,TAMIL NADU,['7 p.m.']," Anonymous: Meeting; Dheep Hospital, Alagarkoil Road, K. Pudur; Kalangarai Vilakkam Church, Mela Anuppanadi, and Rosary Church, Town Hall Road, 7 p.m."
Madurai Today,Wednesday,2018-12-12,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; R. C. Church, Sivaganga Road, Melur, 6.30 p.m.; Prasanna Venkateswara Higher Secondary School; Dheep Hospital, K. Pudur, and Loyola Technical Institute, Gnanaolivupuram, 7 p.m."
Madurai Today,Tuesday,2018-12-11,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; Tamilarasi School, Melur, 6.30 p.m.; St. Mary’s Higher Secondary
School, East Veli Street; De Nobili
Pastoral Centre, K. Pudur, and
R. C. School, Palanganatham,
7 p.m."
Madurai Today,Saturday,2018-12-08,TAMIL NADU,"['11 a.m.', '6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; U. C. Higher Secondary School, West Veli Street, 11 a.m.; R. C. School, Sivaganga Road, Melur, 6.30 p.m.; Justice V. R. Krishna Iyer Community Hall, Lake View Road, K. K. Nagar, and Railway Institute, 7 p.m."
Madurai Today,Wednesday,2018-12-05,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; R. C. Church, Sivaganga Road, Melur, 6.30 p.m.; Prasanna Venkateswara Higher Secondary School; Dheep Hospital, K. Pudur, and Loyola Technical Institute, Gnanaolivupuram, 7 p.m."
Madurai today for December 3,Monday,2018-12-03,TAMIL NADU,"['7 a.m.', '7 p.m.']"," Anonymous: Meeting, Holy Redeemers Church, Periyar bus stand, 7 a.m.; A.G. Church, Gomathipuram and Quality Care Hospital, Ellis Nagar, 7 p.m."
Madurai Today,Saturday,2018-12-01,TAMIL NADU,"['11 a.m.', '6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; U. C. Higher Secondary School, West Veli Street, 11 a.m.; R. C. School, Sivaganga Road, Melur, 6.30 p.m.; Justice V. R. Krishna Iyer Community Hall, Lake View Road, K. K. Nagar, and Railway Institute, 7 p.m."
Madurai Today,Friday,2018-11-30,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; Tamilarasi School, Melur, 6.30 p.m.; CSI Cathedral, Narimedu; Parasakthi Nagar, Avaniapuram, and Maniyammai Nursery School, North Masi Street, 7 p.m."
Madurai Today,Thursday,2018-11-29,TAMIL NADU,['7 p.m.']," Anonymous: Dheep Hospital, Alagarkoil Road, K. Pudur; Kalangarai Vilakkam Church, Mela Anuppanadi, and Rosary Church, Town Hall Road, 7 p.m."
Madurai Today,Wednesday,2018-11-28,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; R. C. Church, Sivaganga Road, Melur, 6.30 p.m.; Prasanna Venkateswara Higher Secondary School; Dheep Hospital, K. Pudur, and Loyola Technical Institute, Gnanaolivupuram, 7 p.m."
